latitude,longitude,zoom,estado
-4.312554,-46.232677,13,Maranhão
-4.312554,-46.052497,13,Maranhão
-4.312554,-45.872317,13,Maranhão
-4.312554,-45.692137,13,Maranhão
-4.312554,-45.511957,13,Maranhão
-4.312554,-45.331777,13,Maranhão
-4.312554,-45.151596,13,Maranhão
-4.312554,-44.971416,13,Maranhão
-4.312554,-44.791236,13,Maranhão
-4.312554,-44.611056,13,Maranhão
-4.312554,-44.430876,13,Maranhão
-4.312554,-44.250695,13,Maranhão
-4.312554,-44.070515,13,Maranhão
-4.312554,-43.890335,13,Maranhão
-4.312554,-43.710155,13,Maranhão
-4.312554,-43.529975,13,Maranhão
-4.312554,-43.349795,13,Maranhão
-4.312554,-43.169614,13,Maranhão
-4.312554,-42.989434,13,Maranhão
-4.132374,-47.313759,13,Maranhão
-4.132374,-47.133578,13,Maranhão
-4.132374,-46.953398,13,Maranhão
-4.132374,-46.773218,13,Maranhão
-4.132374,-46.593038,13,Maranhão
-4.132374,-46.412858,13,Maranhão
-4.132374,-46.232677,13,Maranhão
-4.132374,-46.052497,13,Maranhão
-4.132374,-45.872317,13,Maranhão
-4.132374,-45.692137,13,Maranhão
-4.132374,-45.511957,13,Maranhão
-4.132374,-45.331777,13,Maranhão
-4.132374,-45.151596,13,Maranhão
-4.132374,-44.971416,13,Maranhão
-4.132374,-44.791236,13,Maranhão
-4.132374,-44.611056,13,Maranhão
-4.132374,-44.430876,13,Maranhão
-4.132374,-44.250695,13,Maranhão
-4.132374,-44.070515,13,Maranhão
-4.132374,-43.890335,13,Maranhão
-4.132374,-43.710155,13,Maranhão
-4.132374,-43.529975,13,Maranhão
-4.132374,-43.349795,13,Maranhão
-4.132374,-43.169614,13,Maranhão
-4.132374,-42.989434,13,Maranhão
-3.952194,-47.133578,13,Maranhão
-3.952194,-46.953398,13,Maranhão
-3.952194,-46.773218,13,Maranhão
-3.952194,-46.593038,13,Maranhão
-3.952194,-46.412858,13,Maranhão
-3.952194,-46.232677,13,Maranhão
-3.952194,-46.052497,13,Maranhão
-3.952194,-45.872317,13,Maranhão
-3.952194,-45.692137,13,Maranhão
-3.952194,-45.511957,13,Maranhão
-3.952194,-45.331777,13,Maranhão
-3.952194,-45.151596,13,Maranhão
-3.952194,-44.971416,13,Maranhão
-3.952194,-44.791236,13,Maranhão
-3.952194,-44.611056,13,Maranhão
-3.952194,-44.430876,13,Maranhão
-3.952194,-44.250695,13,Maranhão
-3.952194,-44.070515,13,Maranhão
-3.952194,-43.890335,13,Maranhão
-3.952194,-43.710155,13,Maranhão
-3.952194,-43.529975,13,Maranhão
-3.952194,-43.349795,13,Maranhão
-3.952194,-43.169614,13,Maranhão
-3.952194,-42.989434,13,Maranhão
-3.952194,-42.809254,13,Maranhão
-3.772014,-46.953398,13,Maranhão
-3.772014,-46.773218,13,Maranhão
-3.772014,-46.593038,13,Maranhão
-3.772014,-46.412858,13,Maranhão
-3.772014,-46.232677,13,Maranhão
-3.772014,-46.052497,13,Maranhão
-3.772014,-45.872317,13,Maranhão
-3.772014,-45.692137,13,Maranhão
-3.772014,-45.511957,13,Maranhão
-3.772014,-45.331777,13,Maranhão
-3.772014,-45.151596,13,Maranhão
-3.772014,-44.971416,13,Maranhão
-3.772014,-44.791236,13,Maranhão
-3.772014,-44.611056,13,Maranhão
-3.772014,-44.430876,13,Maranhão
-3.772014,-44.250695,13,Maranhão
-3.772014,-44.070515,13,Maranhão
-3.772014,-43.890335,13,Maranhão
-3.772014,-43.710155,13,Maranhão
-3.772014,-43.529975,13,Maranhão
-3.772014,-43.349795,13,Maranhão
-3.772014,-43.169614,13,Maranhão
-3.772014,-42.989434,13,Maranhão
-3.772014,-42.809254,13,Maranhão
-3.591833,-46.953398,13,Maranhão
-3.591833,-46.773218,13,Maranhão
-3.591833,-46.593038,13,Maranhão
-3.591833,-46.412858,13,Maranhão
-3.591833,-46.232677,13,Maranhão
